backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_remaining_time_loss,_runtime,train_next_activity_acc,best_train_next_activity_loss,train_next_time_to_next_event_loss,_timestamp,_wandb.runtime,train_next_activity_loss,best_train_next_time_to_next_event_loss,_step,best_test_next_remaining_time_loss,test_next_activity_acc,train_next_remaining_time_loss,best_train_next_activity_acc,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_activity_loss,best_test_next_activity_loss,best_test_next_time_to_next_event_loss,few_shot_k
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,41,sum,1416343586,180529186,0.1,pw500u0f,comfy-microwave-46,0.6960918126704541,348.304099489,0.825,0.6112695411796427,0.7509824964437591,1763541714.4864292,348,0.6112695411796427,0.7413771923450049,9,0.9405782063172596,0.7029702970297029,0.6960918126704541,0.825,0.9405782063172596,1.0853688551647829,0.7217821782178218,0.8613088467569634,0.8613088467569634,1.0059667253966378,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,42,sum,1416343586,180529186,0.1,zm9s8dt2,smooth-lake-47,0.690714597746674,343.133406435,0.7699438202247191,0.7558166461044483,0.736049720075693,1763542129.1223354,343,0.7759202666050485,0.723377102077677,9,0.90037702890906,0.7615841584158416,0.690714597746674,0.7732209737827715,0.9199590162711568,1.0670637179837368,0.7615841584158416,0.8659612228846786,0.8490576758007011,0.953056994806422,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,43,sum,1416343586,180529186,0.1,d4bo3rdd,gentle-fire-48,0.7083599110890864,344.800485272,0.647378277153558,0.7531707833768723,0.8700573289215788,1763542686.5407922,344,1.3381651255075404,0.7571169902769367,9,0.8779058334614971,0.1891089108910891,0.8632121778606029,0.7662921348314606,1.47326637551336,1.5346422335180905,0.7900990099009901,2.6420118826686747,0.7492013040627583,0.9657578397505354,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,44,sum,1416343586,180529186,0.1,a8u1yffu,fallen-salad-49,0.7314552398545019,346.69044144,0.8218164794007491,0.5980955570378107,0.7898616383473078,1763543082.9803455,346,0.5980955570378107,0.7759828672873393,9,0.9334732777057309,0.803960396039604,0.750344147921055,0.8218164794007491,1.0383101635168095,1.0855648637526103,0.803960396039604,0.672033658145678,0.672033658145678,1.0190133598063251,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,45,sum,1416343586,180529186,0.1,b8x06mfq,restful-violet-50,0.6803399784623014,332.129500187,0.8204119850187266,0.5896083771512749,0.7418927882606171,1763543612.808452,332,0.5896083771512749,0.7418927882606171,9,0.9559809375989556,0.6855445544554456,0.6803399784623014,0.8204119850187266,1.0738913325980155,1.0035056593866631,0.7241584158415841,0.8045120743477698,0.8045120743477698,0.9972547123691824,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,41,sum,1235988514,121876514,0.1,0i0a6i1c,smart-lion-51,0.6943119360489791,177.676694881,0.8610486891385768,0.4486956984809275,0.7028717727473612,1763543832.9769518,177,0.4486956984809275,0.6845778825354487,9,1.0069969723012189,0.6601980198019802,0.7644215451644154,0.8610486891385768,1.1546403488310255,1.7050301062706674,0.6613861386138614,1.1422925809350344,1.0572029192140786,1.0836091880042955,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,42,sum,1235988514,121876514,0.1,p38jxnee,absurd-breeze-52,0.6789452133218894,180.867843893,0.8597378277153558,0.4524411351939712,0.670230904589878,1763544053.748091,180,0.4524411351939712,0.670230904589878,9,0.9368274660393744,0.6730693069306931,0.6789452133218894,0.8597378277153558,1.053453634469816,1.2100070648382206,0.6730693069306931,0.9631146825658212,0.9631146825658212,1.046779110313642,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1235988514,121876514,0.1,zng5cxzk,dandy-sun-53,0.6610481670286772,177.902722767,0.8424157303370786,0.5136901556775811,0.6680657398164942,1763544272.0659585,177,0.5136901556775811,0.66595145036442,9,0.9542233303749916,0.6067326732673267,0.6694931735371829,0.8424157303370786,0.9596637176287056,1.133235660213055,0.6437623762376238,1.1504417380720082,0.9945478596073566,0.9562846744650662,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,44,sum,1235988514,121876514,0.1,ww7ix943,robust-silence-54,0.648858893743615,179.427784926,0.853183520599251,0.4841048758574639,0.6505239228184303,1763544491.8429525,179,0.4841048758574639,0.6505239228184303,9,0.8981589130363842,0.6611881188118812,0.648858893743615,0.853183520599251,1.0051717718520967,1.0398385567240196,0.6637623762376238,0.9900276487180502,0.9678043813988714,0.955131315193554,
llama32-1b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,45,sum,1235988514,121876514,0.1,96vaop72,ancient-sky-55,0.6784271004829514,180.701968363,0.8673220973782771,0.4272015520249413,0.6615355542201674,1763544712.2918997,180,0.4272015520249413,0.6615355542201674,9,1.0872880618406997,0.6841584158415842,0.7046959902463334,0.8673220973782771,1.5326639571992478,2.142940334282299,0.6841584158415842,0.9522662843572032,0.9479757153161682,1.223189699154089,
