backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_remaining_time_loss,_runtime,train_next_activity_acc,best_train_next_activity_loss,train_next_time_to_next_event_loss,_timestamp,_wandb.runtime,train_next_activity_loss,best_train_next_time_to_next_event_loss,_step,best_test_next_remaining_time_loss,test_next_activity_acc,train_next_remaining_time_loss,best_train_next_activity_acc,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_activity_loss,best_test_next_activity_loss,best_test_next_time_to_next_event_loss,few_shot_k
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI12,512,5e-05,nep,1,256,lstm,41,sum,634871325,140838557,0.1,mnkx8d5e,young-microwave-41,0.6834795723248264,1262.086774408,0.7596345260578837,0.6611578163711133,0.7464843713591187,1763633730.5555077,1262,0.6726876125055301,0.7464843713591187,9,2.38129107386203,0.6263046897340577,0.6834795723248264,0.7635478876354789,2.60421541400005,1.363629331182681,0.6659636831569917,1.2163875347329849,1.0890157367370454,1.363629331182681,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI12,512,5e-05,nep,1,256,lstm,42,sum,634871325,140838557,0.1,pldo73l8,fresh-donkey-42,0.666474647702608,1249.683394713,0.8220611505283039,0.4656867402932031,0.6908739886374484,1763634997.5070632,1249,0.4656867402932031,0.6808098928894398,9,2.2506146382087455,0.6773305690591936,0.6717940730947108,0.8220611505283039,2.4898674284411055,1.438204563363476,0.7640656276808693,0.8730414484206492,0.7421670959171036,1.3742643532581134,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI12,512,5e-05,nep,1,256,lstm,43,sum,634871325,140838557,0.1,6bgmvhru,northern-surf-43,0.6891078588405896,1252.871359631,0.708743810933592,0.5814249633621087,0.8345616916814933,1763636267.249705,1252,0.8026077002755956,0.7413293448441982,9,2.126382477233487,0.5082570774949957,0.6891078588405896,0.7876065540299116,2.528562529426348,1.481731256764568,0.6741671432656563,1.51939711703346,0.982937928886798,1.4661809111438524,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI12,512,5e-05,nep,1,256,lstm,44,sum,634871325,140838557,0.1,nt2n3ish,devout-sky-44,0.670889529942984,1249.680370102,0.7881169924965545,0.5926985554341961,0.7289537148447122,1763637533.9071062,1249,0.5926985554341961,0.7289537148447122,9,2.286453379466725,0.6941843008292823,0.670889529942984,0.7881169924965545,2.5250289391449017,1.4079892416159077,0.6941843008292823,0.9774293246390584,0.9500858993752874,1.393503599623599,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI12,512,5e-05,nep,1,256,lstm,45,sum,634871325,140838557,0.1,tmjqrcu6,bright-wood-45,0.6539708655815618,1253.98248852,0.8291647525224167,0.44389093201101976,0.6727541551312933,1763638804.6898472,1254,0.44389093201101976,0.6706977599889713,9,2.44414780367436,0.6808156991707177,0.6539708655815618,0.8291647525224167,2.6820763250718875,1.4903882055733515,0.742153989133543,0.8910863228208309,0.6893521904996507,1.429342381025523,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI12,,5e-05,nep,1,,lstm,41,sum,494099997,29932317,0.1,ghnlhci9,wise-brook-46,0.5013972039072397,676.920785169,0.8983461793680771,0.24479700105773983,0.22259678311940467,1763639496.5570474,676,0.24479700105773983,0.22259678311940467,9,2.4164196627596986,0.7371139548184158,0.5013972039072397,0.8983461793680771,2.595194659205994,1.362812920066312,0.7371139548184158,0.8310116903591674,0.8172642668980273,1.362812920066312,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI12,,5e-05,nep,1,,lstm,42,sum,494099997,29932317,0.1,x1nst31q,fine-cosmos-47,0.4905630190271448,685.815792193,0.8980143943647594,0.25025299459362665,0.22273978306775055,1763640197.0924268,685,0.25025299459362665,0.22273978306775055,9,2.5811369508299933,0.6305047183299971,0.4905630190271448,0.8980143943647594,2.5811369508299933,1.4495000339566986,0.6941306834429511,1.3114203251972858,0.952326509614723,1.3819663720652844,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI12,,5e-05,nep,1,,lstm,43,sum,494099997,29932317,0.1,ptvy3wbr,sandy-frog-48,0.4752561145380821,681.939251246,0.9070236333010055,0.22513237668526268,0.1859977821306752,1763640893.58428,681,0.22513237668526268,0.1859977821306752,9,2.318424258935075,0.7337718044037747,0.4752561145380821,0.9070236333010055,2.708430878971835,1.419761275945976,0.7340041464112096,0.9484372668507306,0.8328368403816482,1.419761275945976,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI12,,5e-05,nep,1,,lstm,44,sum,494099997,29932317,0.1,jugb2l6z,genial-pond-49,0.5179676993862876,681.51448556,0.883262722678781,0.2849333837029763,0.22370829330981165,1763641589.3503537,681,0.2849333837029763,0.22370829330981165,9,2.485583773365991,0.5926865885044323,0.5179676993862876,0.883262722678781,2.6510793833980326,1.4961752403676103,0.5926865885044323,1.411850051416954,1.411850051416954,1.3815958709768954,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI12,,5e-05,nep,1,,lstm,45,sum,494099997,29932317,0.1,ntb6gkeb,polished-darkness-50,0.5683092544637441,685.689475363,0.876958807615742,0.30179063333473677,0.4641685733131159,1763642289.808362,685,0.30179063333473677,0.4641685733131159,9,2.478383591349161,0.6757577923934801,0.5683092544637441,0.876958807615742,2.543510761029948,1.4499764317326505,0.6871961681441235,0.961269129066594,0.9535152885806129,1.4254153732224113,
