backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_activity_loss,best_test_next_remaining_time_loss,train_next_remaining_time_loss,best_test_next_activity_acc,test_next_activity_acc,train_next_activity_acc,best_train_next_time_to_next_event_loss,test_next_activity_loss,test_next_remaining_time_loss,test_next_time_to_next_event_loss,_wandb.runtime,train_next_time_to_next_event_loss,best_test_next_activity_loss,train_next_activity_loss,_timestamp,best_train_next_activity_acc,_step,_runtime,best_test_next_time_to_next_event_loss,best_train_next_remaining_time_loss
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,41,sum,338973,338973,0.1,ylpilfwz,sandy-totem-61,0.471236338325046,2.3876473944221934,0.624796638454613,0.6482163282813841,0.6126501286817272,0.8160890204685826,0.7559785657681272,1.0788127779449297,2.81146057425208,1.5648896565497314,39,0.7559785657681272,1.0788127779449297,0.471236338325046,1764081141.8617902,0.8160890204685826,9,39.081070287,1.4521220311594922,0.624796638454613
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,42,sum,338973,338973,0.1,wsmznvf7,firm-butterfly-62,0.4654999784360206,2.754896888817792,0.6267832064805875,0.6507184729768373,0.6189233628824707,0.8196195531961955,0.7395772156035831,1.089710821585891,2.950144649693923,1.6157261484822172,36,0.7395772156035831,1.0064089683454174,0.4654999784360206,1764082215.789124,0.8196195531961955,9,36.560324038,1.458073206226724,0.6267832064805875
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,41,sum,338973,338973,0.1,g00m5cx7,earnest-haze-63,0.471236338325046,2.3876473944221934,0.624796638454613,0.6482163282813841,0.6126501286817272,0.8160890204685826,0.7559785657681272,1.0788127779449297,2.81146057425208,1.5648896565497314,31,0.7559785657681272,1.0788127779449297,0.471236338325046,1764083217.9140625,0.8160890204685826,9,31.962176879,1.4521220311594922,0.624796638454613
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,42,sum,338973,338973,0.1,6u3h8hta,lively-cosmos-64,0.4654999784360206,2.754896888817792,0.6267832064805875,0.6507184729768373,0.6189233628824707,0.8196195531961955,0.7395772156035831,1.089710821585891,2.950144649693923,1.6157261484822172,23,0.7395772156035831,1.0064089683454174,0.4654999784360206,1764083253.7492533,0.8196195531961955,9,23.192863703,1.458073206226724,0.6267832064805875
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,43,sum,338973,338973,0.1,tr8sz50b,radiant-tree-65,0.4693500884444567,2.7656774367388226,0.6238611893802504,0.7127895338861882,0.7127895338861882,0.8170843754785361,0.7456156784847023,0.8782818613987771,2.841304061342588,1.483106310210093,23,0.7456156784847023,0.8782818613987771,0.4693500884444567,1764083290.0331972,0.8170843754785361,9,23.390375491,1.483106310210093,0.6238611893802504
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,44,sum,338973,338973,0.1,kvt3ifoj,honest-mountain-66,0.4660620281216951,2.5286641972624713,0.6285863654428473,0.711699313697455,0.6932013154132113,0.8194408997328705,0.7553586797062702,0.921352332954854,2.7440915501966523,1.4119739098687971,24,0.7553586797062702,0.8489906464708441,0.4660620281216951,1764083326.4850118,0.8194408997328705,9,24.021648755,1.4119739098687971,0.6285863654428473
transformer,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,128,10,,,5,128,BPI12,,0.0005,nep,1,,lstm,45,sum,338973,338973,0.1,g32gd1aa,robust-tree-67,0.46650605012440216,2.511959180649192,0.6247843608581893,0.701458392908207,0.6988847583643123,0.818445544722917,0.7463041637713679,0.9126628618564884,2.759643307448388,1.5350631604049425,23,0.7463041637713679,0.9126628618564884,0.46650605012440216,1764083362.607463,0.818445544722917,9,23.665954252,1.4141963180010748,0.6247843608581893
transformer,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,256,10,,,5,256,BPI12,,0.0005,nep,1,,lstm,41,sum,1071133,1071133,0.1,xluw6vug,celestial-thunder-68,0.4166484215381534,2.2853158242129106,0.6312557003402464,0.7394731198169859,0.682567200457535,0.8306960679223453,0.6636751981505445,0.8535819694523407,2.620143214446802,1.3631063853463754,35,0.6636751981505445,0.7598908817491976,0.4166484215381534,1764083410.7324696,0.8306960679223453,9,35.660230249,1.3631063853463754,0.6312557003402464
transformer,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,256,10,,,5,256,BPI12,,0.0005,nep,1,,lstm,42,sum,1071133,1071133,0.1,3mmtokpz,decent-snowflake-69,0.42614302877696447,2.1790619063691,0.6289522427358613,0.7521089505290249,0.710573348584501,0.8298283225290525,0.6885105062600589,0.7571487950365101,2.7422099436116896,1.4078520817998004,35,0.6885105062600589,0.7137196310118058,0.42614302877696447,1764083458.9980814,0.8298283225290525,9,35.94924918,1.4078520817998004,0.6289522427358613
transformer,16,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,256,10,,,5,256,BPI12,,0.0005,nep,1,,lstm,43,sum,1071133,1071133,0.1,vndci3sm,laced-shadow-70,0.427191395628392,2.1841729002609775,0.6260275865025354,0.7372033171289677,0.6772412067486417,0.8280417878958025,0.6741869586619553,0.8498291839079275,2.8603051975859484,1.4251306162907935,35,0.6741869586619553,0.7945889022850057,0.427191395628392,1764083507.7705913,0.8280417878958025,9,35.96447322,1.4251306162907935,0.6260275865025354
